"Author","BHL CreatorID","VIAF ID","Associated Title","DOI"
"Moore, William Ellery.","19067","13911092","Contributions to the history of Derryfield, New Hampshire ...  By William E. Moore. A paper read before the Manchester historic association.","10.5962/bhl.title.22064"
"Lange, D.","10537","8904254","Our native birds; how to protect them and attract them to our homes. ","10.5962/bhl.title.22226"
"Durant, Ghislani.","19261","2038923","Horse-back riding : from a medical point of view / By Ghislani Durant.","10.5962/bhl.title.22310"
"Ward, H. Marshall","12670","8168537","Grasses; a handbook for use in the field and laboratory. By H. Marshall Ward.","10.5962/bhl.title.22568"
"Fabre, Jean-Henri,","1675","51689251","The life of the spider. Translated by Alexander Teixeira de Mattos; with a pref. by Maurice Maeterlinck. ","10.5962/bhl.title.22590"
"Michelet, Jules,","6006","41844048","The bird /  by Jules Michelet ; with 210 illustrations by Giacomelli.","10.5962/bhl.title.22752"
"Luckman, A. Dick","19638","1550457","Sharps, flats, gamblers, and racehorses.  ","10.5962/bhl.title.22835"
"Martindale, Joseph A.","19661","63541554","Protoplasm. Being the presidential address delivered before the Kendal Natural History Association, October 2nd 1913. ","10.5962/bhl.title.22864"
"Antrim, Ernest Irving.","19811","144675455","Fifty million strong; or, Our rural reserve, by Ernest Irving Antrim ...","10.5962/bhl.title.23038"
"Drew, Gilman Arthur,","3311","484149106209868491662","A laboratory manual of invertebrate zoology.  ","10.5962/bhl.title.23042"
"Blakey, Robert,","19322","19772155","Hints on angling, with suggestions for angling excursions in France and Belgium, to which are appended some brief notices of the English, Scottish, and Irish waters. By Palmer Hackle, Esq.","10.5962/bhl.title.23094"
"Royal Botanic Gardens, Kew.","362","134321671","Hand-list of Coniferae : grown in the Royal botanic gardens. ","10.5962/bhl.title.23100"
"Oliver, F. W.","14863","52064620","Makers of British botany; a collection of biographies by living botanists, ed. by F.W. Oliver.","10.5962/bhl.title.23314"
"Pulman, George Philip Rigney,","20075","75844255","The vade-mecum of fly-fishing for trout : beings a complete practical treatise on that branch of the art of angling; with plain and copious instructions for the manufacture of artificial flies / G.P.R.Pulman. --","10.5962/bhl.title.23420"
"Newhall, Charles S.","20080","68533892","The shrubs of northeastern America.  ","10.5962/bhl.title.23429"
"Tod, E. M.","20115","121896707","Wet-fly fishing treated methodically /  by E.M. Tod.","10.5962/bhl.title.23483"
"Loudon, J. C.","33","4987848","The different modes of cultivating the pine-apple, from its first introduction into Europe to the late improvements of T. A. Knight, esq. By a member of the Horticultural society. With twenty-four engravings on wood, exhibiting the best plans of pine-stoves and pits.","10.5962/bhl.title.23825"
"Lewes, George Henry,","1256","5017038","Studies in animal life.  By George Henry Lewes.","10.5962/bhl.title.23847"
"Brubaker, Albert Philson,","18936","220727765","A text-book of human physiology : including a section on physiologic apparatus / by Albert P. Brubaker.","10.5962/bhl.title.23852"
"Nash, Dorothy L.","2440","172683883","Flora of Guatemala /  Dorothy L. Nash ; Cucurbitacae contributed by Jennie V.A. Dieterle.","10.5962/bhl.title.2387"
"Hieover, Harry,","13687","43920125","The pocket and the stud; or, practical hints on the management of the stable,  by Harry Hieover [pseud.]","10.5962/bhl.title.23927"
"Routledge, Robert.","20441","77732038","A popular history of science,  by Robert Routledge ...","10.5962/bhl.title.23990"
"Watson, George Catchpole.","15102","117688173","Farm poultry; a popular sketch of domestic fowls for the farmer and amateur, by George C. Watson, M. S.","10.5962/bhl.title.23996"
"Calkins, Gary N.","1116","27854505","Biology,  by Gary N. Calkins.","10.5962/bhl.title.24281"
"National Research Council Canada.","20619","268830116","War history of Division of Chemistry.  ","10.5962/bhl.title.24291"
"Allen, Grant,","10805","48393117","Colin Clout's calendar. The record of a summer. April-October. By Grant Allen.","10.5962/bhl.title.24303"
"Olsson-Seffer, Pehr,","20719","237806432","Rubber planting in Mexico and Central America /  by Pehr Olsson-Seffer.","10.5962/bhl.title.24431"
"Porter, Benjamin F.","20729","60482414","The past and the present. A discourse delivered before the Erosophic Society of the University of Alabama. ","10.5962/bhl.title.24447"
"Hilgard, Eugene Woldemar,","20742","75475413","Soils, their formation, properties, composition, and relations to climate and plant growth in the humid and arid regions.  ","10.5962/bhl.title.24461"
"Petersen, Marcus,","20835","23052445","The fur traders and fur bearing animals /  by Marcus Petersen.","10.5962/bhl.title.24607"
"Kanthack, A. A.","20901","84829669","A course of elementary practical bacteriology including bacteriological analysis and chemistry, by A.A. Kanthack and J.H. Drysdale ...","10.5962/bhl.title.24700"
"Collings, Jesse,","21222","285325102","Land reform; occupying ownership, peasant proprietary, and rural education, by the Right Hon. Jesse Collings.","10.5962/bhl.title.25145"
"Pictet, François Jules","7371","39461536","Trait lmentaire de palontologie; ou, Histoire naturelle des animaux fossiles, considrs dans leurs rapports zoologiques et gologiques. ","10.5962/bhl.title.25238"
"Newman, Edward,","5663","72175147","An illustrated natural history of British butterflies and moths /  by Edward Newman ; the figures drawn by George Willis and engraved by John Kirchner.","10.5962/bhl.title.25274"
"Milliken, Jessie.","21593","24145304715378610679","A review of Californian Polemoniaceae.  With eleven plates. By Jessie Milliken.","10.5962/bhl.title.25701"
"Orcutt, Charles Russell,","938","36016815","American plants ... [Descriptions, bibliographical notes, synonymy, and other information, comp. from many sources] Charles Russell Orcutt, editor.","10.5962/bhl.title.25917"
"Correll, Donovan Stewart,","2437","50467295","Flora of Peru /  by Donovan S. Correll.","10.5962/bhl.title.2615"
"Hart-Davis, Henry Vaughan.","21969","","Chats on angling /  by H.V. Hart-Davis; with illustrations by the author.","10.5962/bhl.title.26284"
"Jackson, John Wilfrid.","10950","179778416","Shells as evidence of the migrations of early culture,   by J. Wilfrid Jackson.","10.5962/bhl.title.26355"
"Wimmenauer, Karl Friedrich,","22051","67241793","Grundriss der Holzmesskunde.  ","10.5962/bhl.title.26417"
"Ely, Helena Rutherfurd.","22312","38531028","The practical flower garden,  by Helena Rutherfurd Ely ... with illustrations made from photographs taken in the author's garden, and in the ""Connecticut garden.""","10.5962/bhl.title.26817"
"Henderson, Peter,","11360","21688666","Practical floriculture; a guide to the successful cultivation of florists' plants for the amateur and professional florist. ","10.5962/bhl.title.27497"
"Coleman, William Stephen.","15099","44146514","British butterflies. Figures and descriptions of every native species, with an account of butterfly development, structure, habits, localities, mode of capture and preservation, etc. ","10.5962/bhl.title.27509"
"Jenkinson, John Wilfrid,","22921","41765838","Experimental embryology.  ","10.5962/bhl.title.27772"
"Nolan, Edward James,","23202","11390504","A short history of the Academy of Natural Sciences of Philadelphia,  by Edward J. Nolan ...","10.5962/bhl.title.28225"
"Nelson, William,","23216","","Fishing in Eden, a record of fifty years with rod and line in the valleys of the Eden and Eamont; to which are added some practical notes on flies and tackle, by William Nelson ... with an introduction [by] Sir Arthur Robinson ...","10.5962/bhl.title.28235"
"Camp, Samuel Granger,","20332","51579081","Fishing with floating flies,  by Samuel G. Camp.","10.5962/bhl.title.28308"
"Bainbridge, G. C.","23278","94579984","Fly fisher's guide.  ","10.5962/bhl.title.28384"
"Dickerson, Roy E.","23308","112096441","Fauna of the Martinez Eocene of California /  by Roy Ernest Dickerson.","10.5962/bhl.title.28440"
"Radcliffe, Charles Bland,","23119","173481435","Philosophy of vital motion.  ","10.5962/bhl.title.28490"
"Goodyear, Lloyd E.","23353","9506880","Farm accounting for the practical farmer,  by Lloyd E. Goodyear.","10.5962/bhl.title.28525"
"Allen, Edward Tyson,","26067","24206094","Practical forestry in the Pacific northwest; protecting existing forests and growing news ones, from the standpoint of the public and that of the lumberman, with an outline of technical methods. ","10.5962/bhl.title.28649"
"Martinez Maroto, Santiago","23433","","La crisis agrícola y pecuaria en España y sus verdaderos remedios.","10.5962/bhl.title.28688"
"Taverner, P. A.","12054","47126498","A new species of Dendragapus (Dendragapus obscurus flemingi) from southern Yukon territory, by P. A. Taverner.  ","10.5962/bhl.title.28707"
"Taylor, John Ellor,","23654","14445944","Our common British fossils and where to find them : a handbook for students / by J.E. Taylor.","10.5962/bhl.title.29068"
"Warnes, John","23699","93316900","On the cultivation of flax; the fattening of cattle with native produce; box-feeding; and summer-grazing. ","10.5962/bhl.title.29147"
"Sanborn, Colin Campbell,","2615","167524545","Two new mammals from southern Peru.","10.5962/bhl.title.2916"
"Hudson, G. V.","6806","197940258","An elementary manual of New Zealand entomology; being an introduction to the study of our native insects. With 21 coloured plates. By G.V. Hudson ...","10.5962/bhl.title.29214"
"Lawson, A.,","14625","","The modern farrier; or, The art of preserving the health and curing the diseases of horses, dogs, oxen, cows, sheep & swine. Comprehending a great variety of original and approved recipes; instructions in hunting, shooting, coursing, racing, & fishing, and a summary of the game laws; with an enlivening selection of the most interesting sporting anecdotes. The Whole forming an invaluable and useful companion to all persons concerned in the breeding and managing of domestic animals.","10.5962/bhl.title.29254"
"Springfield, Rollo.","22798","63182707","The horse and his rider, or, Sketches and anecdotes of the noble quadruped, and of equestrian nations. /  By Rollo Springfield.","10.5962/bhl.title.29334"
"Holder, Charles Frederick,","7301","1514024","Life in the open; sport with rod, gun, horse, and hound in southern California, by Charles Frederick Holder. ","10.5962/bhl.title.29458"
"Rimington, M. F.","23963","315646845","Hints on stable management /  by M.F. Rimington.","10.5962/bhl.title.29596"
"Reliable Poultry Journal Publishing Company.","24045","","Poultry houses and fixtures. How to lay out poultry plants ... ","10.5962/bhl.title.29768"
"MacDougal, Daniel Trembly,","1640","52474211","Experimental plant physiology /  by D.T. Macdougal.","10.5962/bhl.title.30051"
"Bryden, H. A.","8154","66035660","Hare-hunting and harriers : with notices of beagles and basset hounds / by H.A. Bryden ; Illustrated from photographs by R.B. Lodge and others.","10.5962/bhl.title.30164"
"Schwartz, Albert,","2833","","Geographic variation in the chicken turtle, Deirochelys  reticularia Latreille / Albert Schwartz.","10.5962/bhl.title.3027"
"Robinson, John Robert,","24550","","'Old Q' : a memoir of William Douglas, fourth Duke of Queensberry, K.T., one of 'the fathers of the turf,' with a full account of his celebrated matches and wagers, etc. / by John Robert  Robinson.","10.5962/bhl.title.30684"
"Society for Promoting Christian Knowledge (Great Britain).","11300","130132158","Insect manufacturers /  published under the direction of the Committee of General Literature and Education appointed by the society for Promoting Christian Knowledge.","10.5962/bhl.title.30774"
"Townsend, Charles Wendell,","15642","65526394","Beach grass,  by Charles Wendell Townsend.","10.5962/bhl.title.30868"
"Johnson, George William,","14257","90769956","The cottage gardeners' dictionary. Describing the plants, fruits, and vegetables desirable for the garden, and explaining the terms and operations employed in their cultivation. Ed. by George W. Johnson.","10.5962/bhl.title.30869"
"Alger, Abby Langdon,","24709","110892497","The little flowers of Saint Francis of Assisi. In this book are contained certain little flowers, miracles, and devout examples of that glorious poor follower of Christ, Saint Francis, and of certain of his holy companions. Tr. from the Italian, with a brief account of the life of Saint Francis, by Abby Langdon Alger.","10.5962/bhl.title.30951"
"Hayes, Olive Elliot,","24765","","Preservation of food. Home canning, preserving, jelly-making, pickling, drying. Comp. by Olive E. Hayes ...","10.5962/bhl.title.31037"
"Cook, E. T.","12809","65431360","Gardening for beginners; a handbook to the garden, by E.T. Cook.","10.5962/bhl.title.31270"
"Fabre, Jean-Henri,","1675","51689251","The hunting wasps. Translated by Alexander Teixeira de Mattos. ","10.5962/bhl.title.31281"
"Bailey, L. H.","1947","71646721","The State and the farmer.  ","10.5962/bhl.title.31305"
"Swingle, Walter T.","24999","56547249","The date palm and its utilization in the southwestern states,/  by Walter T. Swingle.","10.5962/bhl.title.31538"
"Bement, C. N.","24896","76166451","The American poultry book; being a practical treatise on the management of domestic poultry, by Micajah R. Cock.","10.5962/bhl.title.31599"
"Triplett, William H.,","25072","308757581","Mechanical principle in the circulation in the _mbryo: Placental souffle the analogue of respiration. Respiration in the new-born: the change in mechanics which this involves. Incubation: the relation this sustains to the air-chamber in the egg. Mode of grafting the ovum in the tissues of the womb. By W.H. Triplett ...","10.5962/bhl.title.31710"
"Lee, Arthur Bolles,","1706","52864621","The microtomist's vade-mecum; a handbook of the methods of microscopic anatomy, by Arthur Bolles Lee.","10.5962/bhl.title.31713"
"Goebel, K.","1338","59878972","Organographie der Pflanzen, insbesondere der Archegoniaten und Samenpflanzen /  von K. Goebel.","10.5962/bhl.title.31994"
"Showers, H. D. W.","25246","","Rev. Aura Claire Showers : a sketch of his life / by his wife ; together with tributes by ministerial brethren ; to which is added a treatise on the doctrine of eternal punishment and other unpublished manuscripts.","10.5962/bhl.title.32004"
"Jones, Marcus Eugene,","25259","45993901","Revision of North-American species of Astragalus,  by Marcus E. Jones.","10.5962/bhl.title.32021"
"Adams, John Quincy, ","16279","36980021","The duplicate letters, the fisheries and the Mississippi. Documents relating to transactions at the negotiation of Ghent. Collected and pub. by John Quincy Adams, one of the commissioners of the United States at that negotiation.","10.5962/bhl.title.32219"
"Scott, Dukinfield Henry,","1712","59201263","An introduction to structural botany...  By Dukinfield Henry Scott...","10.5962/bhl.title.32237"
"Guttenberg, Adolf, Ritter von,","23968","8199775","Die Wachsthumsgesetze des Waldes. Vortrag gehalten im Wissenschaftlichen Club zu Wien am 16. April 1885. ","10.5962/bhl.title.32243"
"Willoughby de Broke, Richard Greville Verney,","24263","59973395","The sport of our ancestors : being a collection of prose and verse setting forth the sport of fox-hunting / edited and selected with an introduction and appreciations by Lord Willoughby de Broke ; illustrated by G.D. Armour.","10.5962/bhl.title.32272"
"Cory, Charles B.","1171","88752385","Notes on little known species of South American birds with descriptions of new subspecies,  by Charles B. Cory.","10.5962/bhl.title.3235"
"Hayes, M. Horace","7654","48005318","Veterinary notes for horse owners : a manual of horse medicine and surgery / by M. Horace Hayes.","10.5962/bhl.title.32509"
"Ryding, William.","25497","161783653","Veterinary pathology ; or, A treatise on the cause and progress of the diseases of the horse : together with the most approved methods of prevention and cure. To which are added short observations of bleeding, firing, roweling, fomentations, and poultices, and an appendix; or, veterinary dispensatory, containing the most approved prescriptions for the different diseases of the horse /","10.5962/bhl.title.32510"
"Smith, Robert Angus,","25637","49340614","A centenary of science in Manchester (in a series of notes)  By R. Angus Smith ...","10.5962/bhl.title.32771"
"Suzuki, Shinkichi K.","25646","","On the growth of the rice plant,  by Shinkichi Suzuki.","10.5962/bhl.title.32785"
"Barrell, Joseph,","1762","69294718","Central Connecticut in the geologic past,  by Joseph Barrell ...","10.5962/bhl.title.32990"
"Atkinson, George Francis,","1902","33506279","A college text-book of Botany, being an enlargement of the author's ""Elementary Botany."" ","10.5962/bhl.title.33027"
"Richardson, Eugene Stanley,","2609","18469117","Pennsylvanian invertebrates of the Mazon Creek area, Illinois. Trilobitomorpha, Arthropleurida / Eugene S. Richardson, Jr., Curator of Fossil Invertebrates.","10.5962/bhl.title.3306"
"Cook, John,","25803","","Observations on fox-hunting /  by Colonel Cook.","10.5962/bhl.title.33080"
"Goltz, Theodor von der,","20344","72195968","Vorlesungen über Agrarwesen und Agrarpolitik.","10.5962/bhl.title.33102"
"McClure, Robert.","18240","","The gentleman's stable guide : containing a familiar description of the American stable; the most approved method of feeding, grooming and general management of horses; together with directions for the care of carriages, harness, etc. /","10.5962/bhl.title.33261"
"Wheelwright, Horace William,","22474","40319519","Bush wanderings of a naturalist : or, notes on the field sports and fauna of Australia Felix / by an old bushman.","10.5962/bhl.title.33268"
"Scharff, Robert Francis,","23693","13076267","The history of the European fauna.  ","10.5962/bhl.title.33300"
"Villiers-Stuart, C. M.","26003","25928190","Gardens of the great Mughals,  by C.M. Villiers Stuart.","10.5962/bhl.title.33481"
"Mulertt, Hugo.","7305","36551258","The goldfish and its systematic culture with a view to profit. A practical treatise on the fish, its propagation, enemies, diseases, and care of the fish in captivity, together with hints on the construction of ponds, etc. Illustrated with colored frontispiece and nineteen wood-cuts, drawn from nature.","10.5962/bhl.title.33586"
"Hieover, Harry,","13687","43920125","Stable talk and table talk : or, Spectacles for young sportsmen / By Harry Hieover [pseud.] ...","10.5962/bhl.title.33596"
"Redfield, Casper Lavater,","1112","53988845","Human heredity,  by Casper L. Redfield.","10.5962/bhl.title.33667"
"Allen, William Fitch,","10244","65469330","Distribution of the subcutaneous vessels in the head region of the ganoids, Polyodon and Lepisosteus.  ","10.5962/bhl.title.33737"
"Huxley, Thomas Henry,","1216","66511085","On our knowledge of the causes of the phenomena of organic nature. Being six lectures to working men, delivered at the Museum of practical geology. ","10.5962/bhl.title.33754"
"Robinson, John H.","26537","","Common-sense poultry doctor.  By John H. Robinson ...","10.5962/bhl.title.34199"
"Hershkovitz, Philip.","2686","27871506","On the nomenclature of certain whales.","10.5962/bhl.title.3427"
"Bodemeyer, Hauptmann E. von.","26591","","Quer durch Klein-Asien in den Bulghar-Dagh : Eine naturwissenschaftliche Studien-Reise / Hauptmann E. v. Bodemeyer.","10.5962/bhl.title.34272"
"Hoveland, Carl Soren,","26736","113308886","Defoliation of oats and pearlmillet as related to herbage yield /  by Carl Soren Hoveland.","10.5962/bhl.title.34479"
"United States. Bureau of fisheries","26285","127824913","Fiscal regulations governing employments in the field,  ","10.5962/bhl.title.34564"
"Down, Clinton A.,","26972","","Liberty manual of chickens.  ","10.5962/bhl.title.34737"
"Huxley, Thomas Henry,","1216","66511085","Introductory /  By Professor Huxley, F. R. S.","10.5962/bhl.title.34830"
"Dufour, Léon,","2970","61554496","Recherches anatomiques et physiologiques sur les hémiptères : accompagnées de considérations relatives a l'histoire naturelle et a la classification des ces insectes / par Léon Dufour.","10.5962/bhl.title.34925"
"Dilly, Antoine.","27088","71401204","Traité de l'ame et de la connoissance des bêtes : ou apres avoir demontre la spiritualité de l'ame de l'homme l'on explíque par la seule machine, les actions les plus surprenantes des animaux, suivant les principes de Descartes / par A. D. ...","10.5962/bhl.title.34929"
"Pearce, Joseph Abner.","26462","","The Pearce new method of bee keeping,  by Joseph A. Pearce ...","10.5962/bhl.title.34965"
"Northrup, King & co., Minneapolis.","27139","","Onion culture; planting, cultivating, harvesting and marketing ...  ","10.5962/bhl.title.34985"
"Jesien, W. S.","27185","166028371","Secondary agricultural schools in Russia /  by W. S. Jesien.","10.5962/bhl.title.35049"
"Roe, Edward Payson,","18462","27426165","Success with small fruits /  by Edward P. Roe ... with illustrations.","10.5962/bhl.title.35354"
"Blew, William Charles Arlington,","23572","43866182","Light horses : breeds and management / by W.C.A. Blew ... [et al.].","10.5962/bhl.title.35386"
"Phillips, Everett Franklin,","9368","234622159","The rearing of queen bees /","10.5962/bhl.title.109857"
"Narsh, J. M.","27541","","The Narsh poultry system,  ","10.5962/bhl.title.35460"
"Traylor, Melvin A.","2754","110054552","New birds from Peru and Ecuador  [by] Melvin A. Traylor.","10.5962/bhl.title.3557"
"Murray, John Alan,","27630","28710431","The estimation of condition in cattle,  ","10.5962/bhl.title.35579"
"Massachusetts.","26229","","Massachusetts creamery interests.  ","10.5962/bhl.title.35697"
"Bailey, L. H.","1947","71646721","The holy earth,  ","10.5962/bhl.title.35710"
"Parker, George Howard,","1608","121651195","Effects of expolosive sounds, such as those produced by motor boats and guns, upon fishes ","10.5962/bhl.title.35782"
"Norman, Alfred Merle,","2043","19663376","British Amphipoda of the tribe Hyperiidea and the families Orchestiidae and some Lysianassidae / by [A.M.] Norman. ","10.5962/bhl.title.35832"
"Fernow, Bernhard Eduard,","28015","3273617","Forest policies and forest management in Germany and British India.  By B. E. Fernow.","10.5962/bhl.title.36130"
"United States.","26306","139556161","Rules and regulations governing forest reserves established under section 24 of the act of March 3, 1891 (26 Stats., 1095.)  ","10.5962/bhl.title.36169"
"Barnes, Thomas C.","28066","101528787","Laboratory manual of general physiology /  by T. Cunliffe Barnes.","10.5962/bhl.title.36198"
"Seal, William P.","28099","","Fishes in their relation to the mosquito problem.  ","10.5962/bhl.title.36233"
"Hile, John W.","28338","","Plans for constructing the improved Hammonton incubators, also information on incubation and appliances.   ","10.5962/bhl.title.36581"
"Buffon, Georges Louis Leclerc,","2134","36915547","Natural history of birds, fish, insects, and reptiles,  embellished with upwards of two hundred engravings.","10.5962/bhl.title.36896"
"Hesler, L. R.","15698","37312993","Black rot, leaf spot and canker of pomaceous fruits /  L.R. Hesler.","10.5962/bhl.title.36922"
"Allen, Clifford P.","28747","2046296","Log of the tenth annual cruise of the Second Presbyterian fishing club of Philadelphia, July 3d to 14th, 1880,  ","10.5962/bhl.title.37100"
"Bolles, Charlton Burgess.","28699","","Propagation of the dahlia,  by Charlton Burgess Bolles.","10.5962/bhl.title.37175"
"Druery, Chas. T.","29116","14678228","British ferns and their varieties /  by Charles T. Druery. Illustrated with 40 coloured plates, 96 nature prints, and 319 wood cuts and other illustrations.","10.5962/bhl.title.37726"
"Hill, John,","3421","","The construction of timber from its early growth; explained by the microscope, and proved from experiments, in a great variety of kinds: in five books, on the parts of trees; wtheir vessels; and their encrease by growth, and on the different dispositionof thefe parts in various kinds; and the particularities in their vessels, with figures of their various appearances, of the instrument for cutting the; and of the microscope thro' which they were viewed /","10.5962/bhl.title.37736"
"Inger, Robert F.","2612","10820227","Three new skinks related to Sphenomorphus variegatus (Peters)","10.5962/bhl.title.3795"
"Ross, Alexander Milton,","12031","293434198","The birds of Canada with descriptions of their habits, food, nests, eggs, times of arrival and departure / by Alexander Milton Ross.","10.5962/bhl.title.38298"
"Moore, Henry F.","26482","58937214","Canadian lands and their development  by Henry F. Moore.","10.5962/bhl.title.38470"
"Chamberlain, Montague,","6789","48802496","A catalogue of Canadian birds with notes on the distribution of the species / by Montague Chamberlain.","10.5962/bhl.title.38680"
"Jordan, William Leighton.","20461","48377887","The ocean : a treatise on ocean currents and tides and their causes, demonstrating the system of the world / William Leighton Jordan.","10.5962/bhl.title.38690"
"Research Analysis Group.","29678","","Physics of sound in the sea.  ","10.5962/bhl.title.38776"
"Craig, John,","21124","","Fruit growing in Canada  by John Craig.","10.5962/bhl.title.38781"
"James, C. C.","17489","","Agriculture  Charles C. James.","10.5962/bhl.title.38832"
"Crdenas, Juan de,","21288","","Primera parte de los problemas y secretos marauillosos de las Indias; compuesta por Iuan de Cardenas.  En Mxico, En casa de Pedro Ocharte, ao de 1591. ","10.5962/bhl.title.39143"
"Elliot, Daniel Giraud,","1624","18001598","Description of apparently new species and sub-species of mammals from the Indian Territory /  by D.G. Elliot.","10.5962/bhl.title.39799"
"Marivault,   de","30567","54077705","De la situation agricole de la France, et des moyens de l'amliorer. ","10.5962/bhl.title.40036"
"Morin, Pierre,","30584","100274923","Remarqves necessaires pour la culture des flevrs. La maniere avec laquelle il les faut cultiver, & les ouvrages qu'il faut faire selon chaque mois de l'anne.  Avec une methode facile pour faire toutes sortes de palissades, bosquets, & autres ornemens qui servent ⏟⏟ l'embellissement des jardins de plaisir; & un catalogue des plantes les plus rares: le tout diligemment observ","10.5962/bhl.title.40057"
"Irmler, Ulrich.","3611","35005240","New species of the genera Lispinus and Neolosus (Staphylinidae: Osoriinae) from the Neotropics /  by Ulrich Irmler.","10.5962/bhl.title.4049"
"Phillis, William Avery,","30925","","Microanatomical study on the eyes of the lone star tick and the screwworm fly with related electrophysiological studies /  by William Avery Phillis III.","10.5962/bhl.title.40542"
"Overton, Frank,","14650","74050739","Applied physiology : including the effects of alcohol and narcotics / by Frank Overton ; advanced grade.","10.5962/bhl.title.40767"
"Holder, Charles Frederick,","7301","1514024","The fishes of the Pacific coast;  ","10.5962/bhl.title.40995"
"Henderson, Alfred.","28803","45952250","Peter Henderson, gardener, author, merchant : a memoir / by Alfred Henderson.","10.5962/bhl.title.41236"
"Harper, R. B.","31377","","The art of planting, growing, curing and handling fine tobacco,  ","10.5962/bhl.title.41268"
"Schillings, Carl George,","31438","","Mit Blitzlicht und Büchse : neue Beobachtungen und Erlebnisse in der Wildnis inmitten der Tierwelt von Äquatorial-Ostafrika / von C.G. Schillings.","10.5962/bhl.title.41412"
"United States. Bureau of Ethnology","31445","159021806","Dictionary of American Indians north of Mexico.  ","10.5962/bhl.title.41428"
"Grove, H. D.","31506","","An essay on sheep.   ","10.5962/bhl.title.41587"
"Harrison, C[harles] S[immons],","31711","31724937","The gold mine in the front yard and how to work it,   ","10.5962/bhl.title.41894"
"Pontey, William.","17703","29925294","The profitable planter : a treatise on the theory and practice of planting forest trees, in every description of soil and situation; more particularly on elevated sites, barren heaths, rocky soils, &c., including directions for the planting and management of permanent screens; with useful hints on shelter and ornament /","10.5962/bhl.title.42696"
"Cressy, Noah.","22339","14684235","An address on the natural history and pathological osteology of the horse,","10.5962/bhl.title.42723"
"Nguyen, Khuong Ba,","32401","31916484","A new nematode parasite of mole crickets : its taxonomy, biology and potential for biological control / by Khuong Ba Nguyen.","10.5962/bhl.title.42754"
"Whitten, John Charles,","32491","36718210","Hints on pruning;   ","10.5962/bhl.title.42890"
"Lochman, Charles L.","3883","","Photographs of medicinal and economic plants from natural specimens: plates, figures /by Charles L. Lochman.","10.5962/bhl.title.4300"
"Westgate, John Minton","32662","123932991","Alfalfa growing for seed and hay.   ","10.5962/bhl.title.43115"
"Cutting, Hiram Adolphus,","32697","48442963","An address upon farm pests, including insects, Fungi, and animalcules,  ","10.5962/bhl.title.43160"
"Patton, Charles U.","32700","","The common-sense horse book,   ","10.5962/bhl.title.43164"
"Bailey, John M.","32717","50910456","The book of ensilage; or, The new dispensation for farmers.  Experience with ""ensilage"" at ""Winning farm.""  How to produce milk for one cent per quart; butter for ten cents per pound; beef for four cents per pound; mutton for nothing if wool is thirty cents per pound.","10.5962/bhl.title.43222"
"Ardrey, Robert L.","32804","44487832","American agricultural implements; a review of invention and development in the agricultural implement industry of the United States ... By R. L. Ardrey.","10.5962/bhl.title.43290"
"Societa agraria di Lombardia.","32622","","Statuto organico ...  ","10.5962/bhl.title.43670"
"California. Fruit growers' convention. 5th, Los Angeles, 1885","32953","128458382","California fruit culture.  ","10.5962/bhl.title.43693"
"Balkwill, Francis Hancock.","33327","","The testimony of the teeth to man's place in nature, with other essays on the doctrine of evolution, by F. H. Balkwill.","10.5962/bhl.title.43970"
"LeConte, Joseph,","1683","29769631","Outlines of the comparative physiology and morphology of animals,  by Joseph Le Conte.","10.5962/bhl.title.44007"
"Bailey, Frederick R.","19015","6314450","A text-book of histology /  by Frederick R. Bailey.","10.5962/bhl.title.44102"
"Heitzmann, Carl,","22316","54137480","Microscopical morphology of the animal body in health and disease,  by C. Heitzmann. With 380 original engravings.","10.5962/bhl.title.44154"
"Hawk, Philip B.","15437","33638848","Practical physiological chemistry : a book designed for use in courses in practical physiological chemistry in schools of medicine and of science / by Philip B. Hawk.","10.5962/bhl.title.44157"
"Simon, Charles E.","17864","","A text-book of physiological chemistry for students of medicine and physicians.  By Charles E. Simon.","10.5962/bhl.title.44236"
"Gould, Harris Perley,","28794","118188782","Peach-growing,  by H. P. Gould.","10.5962/bhl.title.44307"
"Jaques, R. M.","33567","","The Easby Abbey breeding stud : ","10.5962/bhl.title.44437"
"Keith, Arthur,","1547","46753857","Human embryology and morphology;  by Arthur Keith ...","10.5962/bhl.title.44611"
"Roberts, Harry,","14867","","The book of old-fashioned flowers and other plants which thrive in the open-air of England,","10.5962/bhl.title.84829"
"Abel, John Jacob,","4119","4922239","John Jacob Abel, M.D. : investigator, teacher, prophet, 1857-1938 ; a collection of papers by and about the father of American pharmacology.","10.5962/bhl.title.4544"
"Anderson, Edgar,","4127","6440526","Introgressive hybridization.  ","10.5962/bhl.title.4553"
"Wardle, Thomas,","27705","14339783","On the entomology and uses of silk : with a list of the families, genera, and species of silk producers known up to the present date. ","10.5962/bhl.title.45543"
"Smuts, Jan Christiaan,","4139","59144119","Holism and evolution,  by General the Right Honorable J. C. Smuts.","10.5962/bhl.title.4568"
"Owen, Richard,","1203","64089233","Memoir on the megatherium, or giant ground-sloth of America.  ","10.5962/bhl.title.45767"
"Jack, Edward","34253","","Intercolonial Railway tributary forests -report  Edward Jack.","10.5962/bhl.title.45819"
